1	Ace of Wands	Inspiration, power, creation, beginnings, potential	http://www.tarotlore.com/tarot-cards/ace-of-wands/
2	Two of Wands	Future planning, progress, decisions, discovery	http://www.tarotlore.com/tarot-cards/two-of-wands/
3	Three of Wands	Preparation, foresight, enterprise, expansion	http://www.tarotlore.com/tarot-cards/three-of-wands/
4	Four of Wands	Celebration, harmony, marriage, home, community	http://www.tarotlore.com/tarot-cards/four-of-wands/
5	Five of Wands	Disagreement, competition, strife, tension, conflict	http://www.tarotlore.com/tarot-cards/five-of-wands/
6	Six of Wands	Public recognition, victory, progress, self-confidence	http://www.tarotlore.com/tarot-cards/six-of-wands/
7	Seven of Wands	Challenge, competition, perseverance	http://www.tarotlore.com/tarot-cards/seven-of-wands/
8	Eight of Wands	Speed, action, air travel, movement, swift change	http://www.tarotlore.com/tarot-cards/eight-of-wands/
9	Nine of Wands	Courage, persistence, test of faith, resilience	http://www.tarotlore.com/tarot-cards/nine-of-wands/
10	Ten of Wands	Burden, responsibility, hard work, stress, achievement	http://www.tarotlore.com/tarot-cards/ten-of-wands/
11	Page of Wands	Enthusiasm, exploration, discovery, free spirit	http://www.tarotlore.com/tarot-cards/page-of-wands/
12	Knight of Wands	Energy, passion, lust, action, adventure, impulsiveness	http://www.tarotlore.com/tarot-cards/knight-of-wands/
13	Queen of Wands	Exuberance, warmth, vibrancy, determination	http://www.tarotlore.com/tarot-cards/queen-of-wands/
14	King of Wands	Natural-born leader, vision, entrepreneur, honour	http://www.tarotlore.com/tarot-cards/king-of-wands/
15	Ace of Swords	Raw power, victory, break-throughs, mental clarity	http://www.tarotlore.com/tarot-cards/ace-of-swords/
16	Two of Swords	Indecision, choices, truce, stalemate, blocked emotions	http://www.tarotlore.com/tarot-cards/two-of-swords/
17	Three of Swords	Painful separation, sorrow heartbreak, grief, rejection	http://www.tarotlore.com/tarot-cards/three-of-swords/
18	Four of Swords	Contemplation, recuperation, passivity, relaxation, rest	http://www.tarotlore.com/tarot-cards/four-of-swords/
19	Five of Swords	Conflict, tension, loss, defeat, win at all costs, betrayal	http://www.tarotlore.com/tarot-cards/five-of-swords/
20	Six of Swords	Regretful but necessary transition, rite of passage	http://www.tarotlore.com/tarot-cards/six-of-swords/
21	Seven of Swords	Betrayal, deception, getting away with something, stealth	http://www.tarotlore.com/tarot-cards/seven-of-swords/
22	Eight of Swords	Isolation, self-imposed restriction, imprisonment	http://www.tarotlore.com/tarot-cards/eight-of-swords/
23	Nine of Swords	Depression, nightmares, intense anxiety, despair	http://www.tarotlore.com/tarot-cards/nine-of-swords/
24	Ten of Swords	Back-stabbed, defeat, crisis, betrayal, endings, loss	http://www.tarotlore.com/tarot-cards/ten-of-swords/
25	Page of Swords	Talkative, curious, mentally restless, energetic	http://www.tarotlore.com/tarot-cards/page-of-swords/
26	Knight of Swords	Opinionated, hasty, action-oriented, communicative	http://www.tarotlore.com/tarot-cards/knight-of-swords/
27	Queen of Swords	Quick thinker, organised, perceptive, independent	http://www.tarotlore.com/tarot-cards/queen-of-swords/
28	King of Swords	Clear thinking, intellectual power, authority, truth	http://www.tarotlore.com/tarot-cards/king-of-swords/
