			
1	Ace of Wands	Ace of Wands: Inspiration, power, creation, beginnings, potential	Wands01.jpg
2	Two of Wands	2 of Wands: Future planning, progress, decisions, discovery	Wands02.jpg
3	Three of Wands	3 of Wands: Preparation, foresight, enterprise, expansion	Wands03.jpg
4	Four of Wands	4 of Wands: Celebration, harmony, marriage, home, community	Wands04.jpg
5	Five of Wands	5 of Wands: Disagreement, competition, strife, tension, conflict	Wands05.jpg
6	Six of Wands	6 of Wands: Public recognition, victory, progress, self-confidence	Wands06.jpg
7	Seven of Wands	7 of Wands: Challenge, competition, perseverance	Wands07.jpg
8	Eight of Wands	8 of Wands: Speed, action, air travel, movement, swift change	Wands08.jpg
9	Nine of Wands	9 of Wands: Courage, persistence, test of faith, resilience	Wands09.jpg
10	Ten of Wands	10 of Wands: Burden, responsibility, hard work, stress, achievement	Wands10.jpg
11	Page of Wands	Daughter of Wands: Enthusiasm, exploration, discovery, free spirit	Wands11.jpg
12	Knight of Wands	Son of Wands: Energy, passion, lust, action, adventure, impulsiveness	Wands12.jpg
13	Queen of Wands	Queen of Wands: Exuberance, warmth, vibrancy, determination	Wands13.jpg
14	King of Wands	King of Wands: Natural-born leader, vision, entrepreneur, honour	Wands14.jpg
15	Ace of Swords	Ace of Swords: Raw power, victory, break-throughs, mental clarity	Swords01.jpg
16	Two of Swords	2 of Swords: Indecision, choices, truce, stalemate, blocked emotions	Swords02.jpg
17	Three of Swords	3 of Swords: Painful separation, sorrow heartbreak, grief, rejection	Swords03.jpg
18	Four of Swords	4 of Swords: Contemplation, recuperation, passivity, relaxation, rest	Swords04.jpg
19	Five of Swords	5 of Swords: Conflict, tension, loss, defeat, win at all costs, betrayal	Swords05.jpg
20	Six of Swords	6 of Swords: Regretful but necessary transition, rite of passage	Swords06.jpg
21	Seven of Swords	7 of Swords: Betrayal, deception, getting away with something, stealth	Swords07.jpg
22	Eight of Swords	8 of Swords: Isolation, self-imposed restriction, imprisonment	Swords08.jpg
23	Nine of Swords	9 of Swords: Depression, nightmares, intense anxiety, despair	Swords09.jpg
